"document_number","tribal_land"
"1321220083733","The Chickasaw Nation"
"1321220471484","The Chickasaw Nation"
"1321220083644","The Chickasaw Nation"
"1321219655798","The Muscogee (Creek) Nation"
"1321220347468","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321220601429","Puyallup Tribe of the Puyallup Reservation"
"1321219904570","Suquamish Indian Tribe of the Port Madison Reservation"
"1321220078531","The Choctaw Nation of Oklahoma"
"1321220165690","Navajo Nation, Arizona, New Mexico, & Utah"
"1321219603610","Saginaw Chippewa Indian Tribe of Michigan"
"1321220000475","The Chickasaw Nation"
"1321219655762","The Muscogee (Creek) Nation"
"1321219655786","The Muscogee (Creek) Nation"
"1321220481511","The Muscogee (Creek) Nation"
"1321220471508","The Chickasaw Nation"
"1321219933532","Cherokee Nation"
"1321220412249","Coeur D'Alene Tribe"
"1321220123463","Cheyenne and Arapaho Tribes, Oklahoma"
"1321219446061","Puyallup Tribe of the Puyallup Reservation"
"1321219603634","Saginaw Chippewa Indian Tribe of Michigan"
"1321220083620","The Chickasaw Nation"
"1321219455007","Cheyenne and Arapaho Tribes, Oklahoma"
"1321220481535","The Muscogee (Creek) Nation"
"1321219884057","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321220149785","The Choctaw Nation of Oklahoma"
"1321220165652","Navajo Nation, Arizona, New Mexico, & Utah"
"1321220509689","Puyallup Tribe of the Puyallup Reservation"
"1321219705151","Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado"
"1321219858673","The Chickasaw Nation"
"1321219603507","Saginaw Chippewa Indian Tribe of Michigan"
"1321219998768","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321220471318","The Chickasaw Nation"
"1321220086957","Nez Perce Tribe"
"1321220601468","Puyallup Tribe of the Puyallup Reservation"
"1321220601532","Puyallup Tribe of the Puyallup Reservation"
"1321220601518","Puyallup Tribe of the Puyallup Reservation"
"1321219608989","Oneida Nation"
"1321220471421","The Chickasaw Nation"
"1321220471445","The Chickasaw Nation"
"1321219655709","The Muscogee (Creek) Nation"
"1321219905167","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321219905395","Puyallup Tribe of the Puyallup Reservation"
"1321220000350","The Chickasaw Nation"
"1321219605211","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
