INDUSTRY SECTOR CODE,INDUSTRY SECTOR
331,Primary Metals
332,Fabricated Metals
324,Petroleum
325,Chemicals
325,Chemicals
4246,Chemical Wholesalers
331,Primary Metals
4246,Chemical Wholesalers
327,Nonmetallic Mineral Product
333,Machinery
332,Fabricated Metals
336,Transportation Equipment
327,Nonmetallic Mineral Product
324,Petroleum
331,Primary Metals
332,Fabricated Metals
332,Fabricated Metals
336,Transportation Equipment
324,Petroleum
331,Primary Metals
333,Machinery
325,Chemicals
326,Plastics and Rubber
324,Petroleum
336,Transportation Equipment
332,Fabricated Metals
325,Chemicals
562,Hazardous Waste
4246,Chemical Wholesalers
324,Petroleum
326,Plastics and Rubber
324,Petroleum
325,Chemicals
331,Primary Metals
331,Primary Metals
324,Petroleum
336,Transportation Equipment
325,Chemicals
325,Chemicals
325,Chemicals
322,Paper
2211,Electric Utilities
2211,Electric Utilities
325,Chemicals
4246,Chemical Wholesalers
325,Chemicals
325,Chemicals
562,Hazardous Waste
331,Primary Metals
327,Nonmetallic Mineral Product
4247,Petroleum Bulk Terminals
322,Paper
333,Machinery
325,Chemicals
331,Primary Metals
4246,Chemical Wholesalers
324,Petroleum
332,Fabricated Metals
4246,Chemical Wholesalers
4247,Petroleum Bulk Terminals
2211,Electric Utilities
321,Wood Products
325,Chemicals
325,Chemicals
4246,Chemical Wholesalers
325,Chemicals
327,Nonmetallic Mineral Product
331,Primary Metals
332,Fabricated Metals
311,Food
562,Hazardous Waste
325,Chemicals
332,Fabricated Metals
322,Paper
326,Plastics and Rubber
332,Fabricated Metals
2211,Electric Utilities
334,Computers and Electronic Products
332,Fabricated Metals
331,Primary Metals
326,Plastics and Rubber
325,Chemicals
332,Fabricated Metals
325,Chemicals
562,Hazardous Waste
327,Nonmetallic Mineral Product
562,Hazardous Waste
4246,Chemical Wholesalers
331,Primary Metals
322,Paper
999,Other
321,Wood Products
327,Nonmetallic Mineral Product
333,Machinery
333,Machinery
334,Computers and Electronic Products
325,Chemicals
326,Plastics and Rubber
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
325,Chemicals
4247,Petroleum Bulk Terminals
999,Other
331,Primary Metals
331,Primary Metals
336,Transportation Equipment
327,Nonmetallic Mineral Product
332,Fabricated Metals
331,Primary Metals
336,Transportation Equipment
335,Electrical Equipment
331,Primary Metals
332,Fabricated Metals
335,Electrical Equipment
335,Electrical Equipment
999,Other
333,Machinery
333,Machinery
324,Petroleum
325,Chemicals
324,Petroleum
332,Fabricated Metals
335,Electrical Equipment
322,Paper
2211,Electric Utilities
331,Primary Metals
325,Chemicals
325,Chemicals
336,Transportation Equipment
4247,Petroleum Bulk Terminals
325,Chemicals
331,Primary Metals
325,Chemicals
327,Nonmetallic Mineral Product
321,Wood Products
332,Fabricated Metals
325,Chemicals
336,Transportation Equipment
327,Nonmetallic Mineral Product
311,Food
325,Chemicals
333,Machinery
325,Chemicals
562,Hazardous Waste
332,Fabricated Metals
562,Hazardous Waste
311,Food
325,Chemicals
332,Fabricated Metals
332,Fabricated Metals
325,Chemicals
562,Hazardous Waste
325,Chemicals
324,Petroleum
325,Chemicals
325,Chemicals
4246,Chemical Wholesalers
325,Chemicals
336,Transportation Equipment
331,Primary Metals
326,Plastics and Rubber
332,Fabricated Metals
336,Transportation Equipment
331,Primary Metals
332,Fabricated Metals
325,Chemicals
333,Machinery
562,Hazardous Waste
325,Chemicals
336,Transportation Equipment
311,Food
332,Fabricated Metals
324,Petroleum
324,Petroleum
336,Transportation Equipment
999,Other
332,Fabricated Metals
999,Other
325,Chemicals
999,Other
2211,Electric Utilities
327,Nonmetallic Mineral Product
334,Computers and Electronic Products
325,Chemicals
325,Chemicals
333,Machinery
331,Primary Metals
334,Computers and Electronic Products
332,Fabricated Metals
2211,Electric Utilities
325,Chemicals
325,Chemicals
562,Hazardous Waste
4246,Chemical Wholesalers
336,Transportation Equipment
4247,Petroleum Bulk Terminals
325,Chemicals
325,Chemicals
332,Fabricated Metals
562,Hazardous Waste
326,Plastics and Rubber
999,Other
331,Primary Metals
324,Petroleum
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
999,Other
325,Chemicals
325,Chemicals
325,Chemicals
2211,Electric Utilities
336,Transportation Equipment
325,Chemicals
336,Transportation Equipment
336,Transportation Equipment
325,Chemicals
333,Machinery
336,Transportation Equipment
324,Petroleum
999,Other
336,Transportation Equipment
333,Machinery
999,Other
325,Chemicals
327,Nonmetallic Mineral Product
332,Fabricated Metals
332,Fabricated Metals
999,Other
325,Chemicals
325,Chemicals
336,Transportation Equipment
336,Transportation Equipment
